Room,,Donut,Waffle,Drink,DonutSet,WaffleSet,,TotalNumber,TotalPrice,,
,,,,,,,,,,,
,,,,,,,,,,,
Alice,,0,0,0,0,1,,1,200,,57800
Alice,,0,0,0,0,1,,1,200,,
Alice,,0,0,0,0,1,,1,200,,
Alice,,0,0,0,0,1,,1,200,,
Alice,,0,0,0,0,1,,1,200,,
Alice,,0,0,1,0,0,,1,100,,
Alice,,2,3,0,0,0,,5,750,,
Bear,,0,0,0,1,1,,2,400,,
Alice,,0,0,0,2,1,,3,600,,
Alice,,1,0,0,0,1,,2,350,,
Bear,,0,0,0,0,1,,1,200,,
Bear,,0,0,0,0,1,,1,200,,
Bear,,0,0,0,1,0,,1,200,,
Bear,,0,0,1,0,0,,1,100,,
Bear,,0,0,1,0,0,,1,100,,
Alice,,0,0,0,0,2,,2,400,,
Alice,,0,0,0,4,0,,4,800,,
Alice,,0,0,1,0,1,,2,300,,
Bear,,0,3,0,0,0,,3,450,,
Alice,,0,0,0,2,0,,2,400,,
Bear,,0,1,0,1,0,,2,350,,
Bear,,0,0,0,2,1,,3,600,,
Bear,,0,0,0,0,3,,3,600,,
Alice,,0,1,0,0,0,,1,150,,
Bear,,0,0,0,0,1,,1,200,,
Alice,,0,0,0,1,1,,2,400,,
Bear,,0,0,1,0,1,,2,300,,
Alice,,0,0,0,0,2,,2,400,,
Bear,,0,0,0,0,2,,2,400,,
Bear,,0,0,0,0,2,,2,400,,
Bear,,0,0,0,1,1,,2,400,,
Bear,,1,0,0,0,1,,2,350,,
Bear,,0,0,0,0,1,,1,200,,
Bear,,0,0,0,1,1,,2,400,,
Bear,,0,0,0,0,5,,5,1000,,
Alice,,0,0,1,1,1,,3,500,,
Bear,,0,0,0,1,1,,2,400,,
Alice,,0,0,2,0,0,,2,200,,
Bear,,0,0,0,0,1,,1,200,,
Alice,,1,1,0,0,0,,2,300,,
Alice,,0,0,0,1,1,,2,400,,
Bear,,0,0,1,0,0,,1,100,,
Bear,,0,0,0,1,1,,2,400,,
Alice,,0,0,0,0,3,,3,600,,
Bear,,1,1,0,0,0,,2,300,,
Alice,,0,2,0,0,0,,2,300,,
Alice,,0,0,0,0,1,,1,200,,
Alice,,0,0,0,0,2,,2,400,,
Bear,,0,0,0,0,2,,2,400,,
Bear,,1,1,0,0,0,,2,300,,
Bear,,0,0,0,0,2,,2,400,,
Alice,,0,0,0,0,2,,2,400,,
Bear,,0,0,0,0,2,,2,400,,
Bear,,0,0,0,0,2,,2,400,,
Alice,,0,0,0,0,2,,2,400,,
Bear,,0,0,0,1,0,,1,200,,
Bear,,0,0,0,0,1,,1,200,,
Alice,,0,0,0,0,1,,1,200,,
Bear,,1,0,0,2,1,,4,750,,
Alice,,0,0,2,1,1,,4,600,,
Bear,,1,2,1,0,0,,4,550,,
Alice,,0,4,0,0,0,,4,600,,
Alice,,1,1,0,0,0,,2,300,,
Bear,,0,0,0,1,1,,2,400,,
Bear,,1,2,0,0,0,,3,450,,
Alice,,0,0,0,1,1,,2,400,,
Alice,,0,0,0,0,2,,2,400,,
Alice,,0,0,0,0,2,,2,400,,
Bear,,0,0,0,1,1,,2,400,,
Bear,,0,0,0,1,0,,1,200,,
Bear,,0,0,0,1,1,,2,400,,
Bear,,0,0,0,1,1,,2,400,,
Alice,,0,0,0,1,1,,2,400,,
Alice,,0,0,0,0,2,,2,400,,
Alice,,0,0,0,2,1,,3,600,,
Alice,,1,0,0,2,1,,4,750,,
Bear,,0,0,0,0,2,,2,400,,
Alice,,0,2,0,0,0,,2,300,,
Alice,,0,0,0,0,2,,2,400,,
Bear,,1,1,0,0,0,,2,300,,
Bear,,1,1,0,0,0,,2,300,,
Alice,,0,0,0,1,1,,2,400,,
Alice,,0,0,0,2,0,,2,400,,
Bear,,1,1,0,0,0,,2,300,,
Bear,,1,0,0,0,0,,1,150,,
Alice,,0,0,0,0,2,,2,400,,
Alice,,0,0,0,1,1,,2,400,,
Bear,,0,0,0,3,0,,3,600,,
Bear,,0,0,0,0,2,,2,400,,
Alice,,0,2,0,0,0,,2,300,,
Bear,,0,0,0,2,0,,2,400,,
Alice,,1,0,0,1,0,,2,350,,
Alice,,0,1,0,0,2,,3,550,,
Bear,,0,0,0,0,3,,3,600,,
Bear,,0,1,0,0,1,,2,350,,
Bear,,0,1,0,2,1,,4,750,,
Bear,,1,1,0,0,0,,2,300,,
Bear,,0,0,0,3,0,,3,600,,
Alice,,0,0,0,3,0,,3,600,,
Alice,,0,0,2,0,0,,2,200,,
Alice,,1,1,0,0,0,,2,300,,
Alice,,0,0,0,0,3,,3,600,,
Alice,,0,0,0,0,2,,2,400,,
Alice,,0,0,0,0,2,,2,400,,
Alice,,0,0,0,1,2,,3,600,,
Alice,,0,0,0,1,1,,2,400,,
Bear,,0,0,1,0,2,,3,500,,
Bear,,0,0,1,1,0,,2,300,,
Bear,,1,0,0,1,0,,2,350,,
Alice,,0,0,1,0,1,,2,300,,
Bear,,0,0,0,0,2,,2,400,,
Alice,,0,0,0,1,1,,2,400,,
Alice,,0,0,0,1,3,,4,800,,
Bear,,0,0,0,2,0,,2,400,,
Alice,,0,0,0,3,0,,3,600,,
Alice,,0,0,0,2,0,,2,400,,
Alice,,0,0,0,1,0,,1,200,,
Bear,,0,0,0,1,0,,1,200,,
Alice,,0,0,0,2,0,,2,400,,
Alice,,0,0,2,1,0,,3,400,,
Bear,,1,0,0,0,0,,1,150,,
Alice,,0,0,0,2,0,,2,400,,
Alice,,2,0,1,0,0,,3,400,,
Bear,,0,0,1,0,0,,1,100,,
Alice,,0,0,0,1,0,,1,200,,
Bear,,0,0,0,1,0,,1,200,,
Bear,,1,0,0,0,0,,1,150,,
Alice,,2,0,4,0,0,,6,700,,
Alice,,0,0,0,2,0,,2,400,,
Alice,,0,0,1,0,0,,1,100,,
Alice,,0,0,0,2,0,,2,400,,
Alice,,0,0,0,3,0,,3,600,,
Alice,,0,0,2,1,0,,3,400,,
Bear,,0,0,0,1,0,,1,200,,
Alice,,1,0,0,0,0,,1,150,,
Alice,,0,0,0,1,0,,1,200,,
Alice,,0,0,0,2,0,,2,400,,
Alice,,0,0,1,1,0,,2,300,,
Alice,,1,0,0,0,0,,1,150,,
Bear,,0,0,0,2,0,,2,400,,
Bear,,1,0,0,0,0,,1,150,,
Alice,,2,0,0,0,0,,2,300,,
Alice,,1,0,0,0,0,,1,150,,
Alice,,2,0,0,0,0,,2,300,,
Bear,,0,0,0,2,0,,2,400,,
Alice,,1,0,0,0,0,,1,150,,
Alice,,1,0,0,0,0,,1,150,,
Bear,,0,0,0,1,0,,1,200,,
Bear,,1,0,0,1,0,,2,350,,
Bear,,0,0,0,1,0,,1,200,,
Alice,,0,0,0,1,0,,1,200,,
Bear,,0,0,0,2,0,,2,400,,
Bear,,1,0,0,0,0,,1,150,,
Bear,,0,0,0,1,0,,1,200,,
Bear,,1,0,0,0,0,,1,150,,
Bear,,1,0,0,0,0,,1,150,,
Alice,,1,0,0,1,0,,2,350,,
Bear,,2,0,0,3,0,,5,900,,
Bear,,0,0,0,1,0,,1,200,,
Bear,,1,0,0,0,0,,1,150,,
